,comp_tokens,comp_ids,simp_tokens,simp_ids,edit_labels,new_edit_ids,comp_pos_tags,comp_pos_ids
170,"['the', 'bells', 'of', 'lüdinghausen', 'allegedly', 'chimed', 'by', 'themselves', ',', 'whenever', 'liudger', 'entered', 'the', 'town', '.']","[   6 9384    9    1 7777    1   21 1159    7 8049    1 1044    6  255
    8]","['the', 'bells', 'of', 'ludinghausen', 'allegedly', 'rang', 'by', 'themselves', ',', 'whenever', 'liudger', 'entered', 'the', 'town', '.']","[   6 9384    9    1 7777    1   21 1159    7 8049    1 1044    6  255
    8]","['KEEP', 'KEEP', 'KEEP', 'ludinghausen', 'DEL', 'KEEP', 'rang', 'DEL', 'STOP']",[2 2 2 1 3 2 1 3 5],"[('the', 'DT'), ('bells', 'NNS'), ('of', 'IN'), ('lüdinghausen', 'NN'), ('allegedly', 'RB'), ('chimed', 'VBN'), ('by', 'IN'), ('themselves', 'PRP'), (',', ','), ('whenever', 'RB'), ('liudger', 'JJR'), ('entered', 'VBD'), ('the', 'DT'), ('town', 'NN'), ('.', '.')]","[16, 29, 40, 19, 27, 8, 40, 38, 9, 27, 46, 6, 16, 19, 24]"
171,"['a', 'feast', 'for', 'crows', 'is', 'the', 'fourth', 'of', 'seven', 'planned', 'novels', 'in', 'a', 'song', 'of', 'ice', 'and', 'fire', ',', 'an', 'epic', 'fantasy', 'series', 'by', 'american', 'author', 'george', 'r.', 'r.', 'martin', '.']","[   12  5528    20 14718    14     6   654     9   454  1935  2165    11
    12   253     9   712    10   666     7    33  4855  3016   120    21
    93  1050   476  3770  3770  1141     8]","['""', 'a', 'feast', 'for', 'crows', '""', 'is', 'the', 'fourth', 'of', 'seven', 'novels', 'in', 'an', 'epic', 'fantasy', 'series', 'by', 'american', 'george', 'r.r.', 'martin', 'to', 'be', 'known', 'as', '""', 'a', 'song', 'of', 'ice', 'and', 'fire', '""', '.']","[    1    12  5528    20 14718     1    14     6   654     9   454  2165
    11    33  4855  3016   120    21    93   476     1  1141    13    36
    64    18     1    12   253     9   712    10   666     1     8]","['""', 'KEEP', 'KEEP', 'KEEP', 'KEEP', '""', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'DEL', 'KEEP', 'KEEP', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'DEL', 'KEEP', 'r.r.', 'DEL', 'DEL', 'KEEP', 'to', 'be', 'known', 'as', '""', 'a', 'song', 'of', 'ice', 'and', 'fire', '""', 'STOP']","[  1   2   2   2   2   1   2   2   2   2   2   3   2   2   3   3   3   3
   3   3   3   2   2   2   2   2   2   3   2   1   3   3   2  13  36  64
  18   1  12 253   9 712  10 666   1   5]","[('a', 'DT'), ('feast', 'NN'), ('for', 'IN'), ('crows', 'NNS'), ('is', 'VBZ'), ('the', 'DT'), ('fourth', 'JJ'), ('of', 'IN'), ('seven', 'CD'), ('planned', 'JJ'), ('novels', 'NNS'), ('in', 'IN'), ('a', 'DT'), ('song', 'NN'), ('of', 'IN'), ('ice', 'NN'), ('and', 'CC'), ('fire', 'NN'), (',', ','), ('an', 'DT'), ('epic', 'NN'), ('fantasy', 'NN'), ('series', 'NN'), ('by', 'IN'), ('american', 'JJ'), ('author', 'NN'), ('george', 'NN'), ('r.', 'VBP'), ('r.', 'NN'), ('martin', 'NN'), ('.', '.')]","[16, 19, 40, 29, 15, 16, 13, 40, 37, 13, 29, 40, 16, 19, 40, 19, 33, 19, 9, 16, 19, 19, 19, 40, 13, 19, 19, 11, 19, 19, 24]"
172,"['food', 'coloring', 'is', 'used', 'both', 'in', 'commercial', 'food', 'production', 'and', 'in', 'domestic', 'cooking', '.']","[  564 10917    14    61   108    11   859   564   497    10    11  2362
  4312     8]","['food', 'coloring', 'is', 'used', 'in', 'commerical', 'food', 'production', 'and', 'domestic', 'cooking', '.']",[  564 10917    14    61    11     1   564   497    10  2362  4312     8],"['KEEP', 'KEEP', 'KEEP', 'KEEP', 'DEL', 'KEEP', 'commerical', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'DEL', 'STOP']",[2 2 2 2 3 2 1 3 2 2 2 3 5],"[('food', 'NN'), ('coloring', 'NN'), ('is', 'VBZ'), ('used', 'VBN'), ('both', 'DT'), ('in', 'IN'), ('commercial', 'JJ'), ('food', 'NN'), ('production', 'NN'), ('and', 'CC'), ('in', 'IN'), ('domestic', 'JJ'), ('cooking', 'NN'), ('.', '.')]","[19, 19, 15, 8, 16, 40, 13, 19, 19, 33, 40, 13, 19, 24]"
173,"['on', 'the', 'outbreak', 'of', 'war', 'in', 'august', '1914', ',', 'the', 'regiment', 'went', 'to', 'france', 'and', 'was', 'engaged', 'in', 'the', 'early', 'fighting', '.']","[  19    6 4307    9  107   11  186 2880    7    6 3646  455   13  314
   10   15 3008   11    6  122 1986    8]","['on', 'the', 'start', 'of', 'war', 'in', 'august', '1914', ',', 'the', 'group', 'went', 'to', 'france', 'and', 'was', 'in', 'on', 'the', 'early', 'fighting', '.']","[  19    6  937    9  107   11  186 2880    7    6  149  455   13  314
   10   15   11   19    6  122 1986    8]","['KEEP', 'KEEP', 'start', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'group', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'DEL', 'KEEP', 'on', 'STOP']","[  2   2 937   3   2   2   2   2   2   2   2 149   3   2   2   2   2   2
   3   2  19   5]","[('on', 'IN'), ('the', 'DT'), ('outbreak', 'NN'), ('of', 'IN'), ('war', 'NN'), ('in', 'IN'), ('august', 'JJ'), ('1914', 'CD'), (',', ','), ('the', 'DT'), ('regiment', 'NN'), ('went', 'VBD'), ('to', 'TO'), ('france', 'NN'), ('and', 'CC'), ('was', 'VBD'), ('engaged', 'VBN'), ('in', 'IN'), ('the', 'DT'), ('early', 'JJ'), ('fighting', 'NN'), ('.', '.')]","[40, 16, 19, 40, 19, 40, 13, 37, 9, 16, 19, 6, 25, 19, 33, 6, 8, 40, 16, 13, 19, 24]"
174,"['brunswick', 'is', 'an', 'american', 'city', 'in', 'the', 'state', 'of', 'georgia', 'and', 'the', 'seat', 'of', 'glynn', 'county', '.']","[9390   14   33   93   80   11    6  103    9 1938   10    6  979    9
    1  223    8]","['brunswick', 'is', 'an', 'american', 'city', 'in', 'the', 'state', 'of', 'georgia', 'and', 'the', 'seat', 'of', 'glynn', 'county', '.']","[9390   14   33   93   80   11    6  103    9 1938   10    6  979    9
    1  223    8]",[],[],"[('brunswick', 'NN'), ('is', 'VBZ'), ('an', 'DT'), ('american', 'JJ'), ('city', 'NN'), ('in', 'IN'), ('the', 'DT'), ('state', 'NN'), ('of', 'IN'), ('georgia', 'NN'), ('and', 'CC'), ('the', 'DT'), ('seat', 'NN'), ('of', 'IN'), ('glynn', 'JJ'), ('county', 'NN'), ('.', '.')]","[19, 15, 16, 13, 19, 40, 16, 19, 40, 19, 33, 16, 19, 40, 13, 19, 24]"
175,"['the', 'color', ""'s"", 'name', 'is', 'derived', 'from', 'the', 'typical', 'color', 'of', 'the', 'beverage', 'champagne', '.']","[    6   493    23   106    14  1221    26     6  1461   493     9     6
  8961 11763     8]","['the', 'color', ""'s"", 'name', 'is', 'from', 'the', 'typical', 'color', 'of', 'the', 'beverage', 'champagne', '.']","[    6   493    23   106    14    26     6  1461   493     9     6  8961
 11763     8]","['KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'DEL', 'STOP']",[2 2 2 2 2 3 5],"[('the', 'DT'), ('color', 'NN'), (""'s"", 'POS'), ('name', 'NN'), ('is', 'VBZ'), ('derived', 'VBN'), ('from', 'IN'), ('the', 'DT'), ('typical', 'JJ'), ('color', 'NN'), ('of', 'IN'), ('the', 'DT'), ('beverage', 'NN'), ('champagne', 'NN'), ('.', '.')]","[16, 19, 23, 19, 15, 8, 40, 16, 13, 19, 40, 16, 19, 19, 24]"
176,"['references', 'external', 'links', 'studylight', 'version', 'of', 'the', 'wycliffe', 'bible', '-lrb-', '1395', '-rrb-', 'searchable', 'by', 'phrase', 'or', 'chapter', '/', 'verse', 'reference', '.']","[5054 2302 2895    1  423    9    6    1 2344    1    1    1    1   21
 2500   34 3272    1 5212 1624    8]","['the', 'wycliffe', 'bible', 'is', 'searchable', 'by', 'phrase', 'or', 'chapter', 'and', 'verse', 'reference', '.']",[   6    1 2344   14    1   21 2500   34 3272   10 5212 1624    8],"['DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'is', 'DEL', 'DEL', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'and', 'DEL', 'STOP']",[ 3  3  3  3  3  3  2  2  2 14  3  3  3  2  2  2  2  2 10  3  5],"[('references', 'NNS'), ('external', 'JJ'), ('links', 'NNS'), ('studylight', 'VBD'), ('version', 'NN'), ('of', 'IN'), ('the', 'DT'), ('wycliffe', 'NN'), ('bible', 'JJ'), ('-lrb-', 'NN'), ('1395', 'CD'), ('-rrb-', 'NNP'), ('searchable', 'JJ'), ('by', 'IN'), ('phrase', 'NN'), ('or', 'CC'), ('chapter', 'NN'), ('/', 'JJ'), ('verse', 'NN'), ('reference', 'NN'), ('.', '.')]","[29, 13, 29, 6, 19, 40, 16, 19, 13, 19, 37, 30, 13, 40, 19, 33, 19, 13, 19, 19, 24]"
177,"['it', 'is', 'an', 'f-type', 'asteroid', ',', 'which', 'means', 'that', 'it', 'is', 'very', 'dark', 'in', 'colouring', '-lrb-', 'darker', 'than', 'soot', '-rrb-', 'with', 'a', 'carbonaceous', 'composition', '.']","[   31    14    33     1  3467     7    35   553    24    31    14   212
   999    11     1     1  8072    79 23845     1    22    12 22175  1679
     8]","['it', 'is', 'an', 'f-type', 'asteroid', 'which', 'means', 'that', 'it', 'is', 'dark', 'in', 'colouring', 'with', 'a', 'carbonaceous', 'composition', '.']","[   31    14    33     1  3467    35   553    24    31    14   999    11
     1    22    12 22175  1679     8]","['KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'STOP']",[2 2 2 2 2 3 2 2 2 2 2 3 2 2 2 3 3 3 3 3 5],"[('it', 'PRP'), ('is', 'VBZ'), ('an', 'DT'), ('f-type', 'JJ'), ('asteroid', 'NN'), (',', ','), ('which', 'WDT'), ('means', 'VBZ'), ('that', 'IN'), ('it', 'PRP'), ('is', 'VBZ'), ('very', 'RB'), ('dark', 'JJ'), ('in', 'IN'), ('colouring', 'VBG'), ('-lrb-', 'NN'), ('darker', 'NN'), ('than', 'IN'), ('soot', 'JJ'), ('-rrb-', 'NN'), ('with', 'IN'), ('a', 'DT'), ('carbonaceous', 'JJ'), ('composition', 'NN'), ('.', '.')]","[38, 15, 16, 13, 19, 9, 12, 15, 40, 38, 15, 27, 13, 40, 5, 19, 19, 40, 13, 19, 40, 16, 13, 19, 24]"
178,"['when', 'disagreement', 'occurs', ',', 'explain', 'yourself', 'using', 'talk', 'pages', ',', 'and', 'give', 'others', 'the', 'opportunity', 'to', 'do', 'the', 'same', '.']","[   60 12185  1293     7  3700 15644   245  2229  2179     7    10   866
   432     6  2981    13   242     6   141     8]","['when', 'disagreement', 'occurs', ',', 'explain', 'yourself', 'using', 'talk', 'pages', 'and', 'give', 'others', 'the', 'opportunity', 'to', 'do', 'the', 'same', '.']","[   60 12185  1293     7  3700 15644   245  2229  2179    10   866   432
     6  2981    13   242     6   141     8]","['KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'DEL', 'STOP']",[2 2 2 2 2 2 2 2 2 3 5],"[('when', 'WRB'), ('disagreement', 'NN'), ('occurs', 'VBZ'), (',', ','), ('explain', 'VB'), ('yourself', 'PRP'), ('using', 'VBG'), ('talk', 'NN'), ('pages', 'NNS'), (',', ','), ('and', 'CC'), ('give', 'VB'), ('others', 'NNS'), ('the', 'DT'), ('opportunity', 'NN'), ('to', 'TO'), ('do', 'VB'), ('the', 'DT'), ('same', 'JJ'), ('.', '.')]","[32, 19, 15, 9, 31, 38, 5, 19, 29, 9, 33, 31, 29, 16, 19, 25, 31, 16, 13, 24]"
179,"['this', 'is', 'a', 'list', 'of', 'german', 'chancellors', 'since', '1871', 'by', 'longevity', '.']",[   41    14    12   733     9   188     1   127  4915    21 19984     8],"['this', 'is', 'a', 'list', 'of', 'german', 'chancellors', 'since', '1871', 'by', 'length', 'in', 'years', '.']",[  41   14   12  733    9  188    1  127 4915   21  640   11   78    8],"['KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'length', 'in', 'years', 'DEL', 'STOP']",[  2   2   2   2   2   2   2   2   2   2 640  11  78   3   5],"[('this', 'DT'), ('is', 'VBZ'), ('a', 'DT'), ('list', 'NN'), ('of', 'IN'), ('german', 'JJ'), ('chancellors', 'NNS'), ('since', 'IN'), ('1871', 'CD'), ('by', 'IN'), ('longevity', 'NN'), ('.', '.')]","[16, 15, 16, 19, 40, 13, 29, 40, 37, 40, 19, 24]"
180,"['thalassa', 'is', 'irregularly', 'shaped', 'and', 'shows', 'no', 'sign', 'of', 'any', 'geological', 'modification', '.']","[    1    14 21401  4441    10   853   113  1307     9   158  4098  7414
     8]","['thalassa', 'is', 'strangley', 'shaped', 'and', 'shows', 'no', 'sign', 'of', 'any', 'geological', 'change', '.']",[   1   14    1 4441   10  853  113 1307    9  158 4098  623    8],"['KEEP', 'KEEP', 'strangley', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'change', 'DEL', 'STOP']",[  2   2   1   3   2   2   2   2   2   2   2   2 623   3   5],"[('thalassa', 'NN'), ('is', 'VBZ'), ('irregularly', 'RB'), ('shaped', 'VBN'), ('and', 'CC'), ('shows', 'VBZ'), ('no', 'DT'), ('sign', 'NN'), ('of', 'IN'), ('any', 'DT'), ('geological', 'JJ'), ('modification', 'NN'), ('.', '.')]","[19, 15, 27, 8, 33, 15, 16, 19, 40, 16, 13, 19, 24]"
181,"['introduction', 'electrical', 'energy', 'conservation', 'is', 'an', 'important', 'element', 'of', 'energy', 'policy', '.']",[2778 2233  421 2873   14   33  305 1407    9  421 1536    8],"['introduction', ':', 'electrical', 'energy', 'conservation', 'is', 'an', 'important', 'part', 'of', 'a', 'renewable', 'energy', 'plan', '.']","[2778   38 2233  421 2873   14   33  305   95    9   12 8597  421 1423
    8]","['KEEP', ':', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'part', 'DEL', 'KEEP', 'a', 'renewable', 'KEEP', 'plan', 'DEL', 'STOP']","[   2   38    2    2    2    2    2    2   95    3    2   12 8597    2
 1423    3    5]","[('introduction', 'NN'), ('electrical', 'JJ'), ('energy', 'NN'), ('conservation', 'NN'), ('is', 'VBZ'), ('an', 'DT'), ('important', 'JJ'), ('element', 'NN'), ('of', 'IN'), ('energy', 'NN'), ('policy', 'NN'), ('.', '.')]","[19, 13, 19, 19, 15, 16, 13, 19, 40, 19, 19, 24]"
182,"['the', 'film', 'stars', 'al', 'pacino', ',', 'john', 'cazale', ',', 'chris', 'sarandon', ',', 'james', 'broderick', ',', 'and', 'charles', 'durning', '.']","[    6   115   735  2720     1     7   182     1     7  2607     1     7
   457     1     7    10   548 29980     8]","['the', 'film', 'has', 'al', 'pacino', ',', 'john', 'cazale', ',', 'chris', 'sarandon', ',', 'james', 'broderick', ',', 'and', 'charles', 'durning', '.']","[    6   115    43  2720     1     7   182     1     7  2607     1     7
   457     1     7    10   548 29980     8]","['KEEP', 'KEEP', 'has', 'DEL', 'STOP']",[ 2  2 43  3  5],"[('the', 'DT'), ('film', 'NN'), ('stars', 'NNS'), ('al', 'VBP'), ('pacino', 'NN'), (',', ','), ('john', 'NN'), ('cazale', 'NN'), (',', ','), ('chris', 'JJ'), ('sarandon', 'NN'), (',', ','), ('james', 'NNS'), ('broderick', 'VBP'), (',', ','), ('and', 'CC'), ('charles', 'NNS'), ('durning', 'VBG'), ('.', '.')]","[16, 19, 29, 11, 19, 9, 19, 19, 9, 13, 19, 9, 29, 11, 9, 33, 29, 5, 24]"
183,"['he', 'took', 'to', 'the', 'bush', 'a', 'fortnight', 'later', ',', 'reportedly', 'with', 'some', 'provisions', ',', 'an', 'iron', 'pot', ',', 'and', 'a', 'musket', 'stolen', 'from', 'a', 'marine', 'named', 'abraham', 'hand', '.']","[  30  264   13    6 2164   12    1   89    7 4660   22   70 7752    7
   33 1070 7804    7   10   12    1 5523   26   12 1380  163 4279  846
    8]","['he', 'went', 'to', 'the', 'country', 'two', 'weeks', 'later', ',', 'reportedly', 'with', 'some', 'food', ',', 'an', 'iron', 'pot', ',', 'and', 'a', 'gun', 'stolen', 'from', 'a', 'marine', 'named', 'abraham', 'hand', '.']","[  30  455   13    6  261   55  970   89    7 4660   22   70  564    7
   33 1070 7804    7   10   12 1882 5523   26   12 1380  163 4279  846
    8]","['KEEP', 'went', 'DEL', 'KEEP', 'KEEP', 'country', 'two', 'weeks', 'DEL', 'DEL', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'food', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'gun', 'DEL', 'STOP']","[   2  455    3    2    2  261   55  970    3    3    3    2    2    2
    2    2  564    3    2    2    2    2    2    2    2 1882    3    5]","[('he', 'PRP'), ('took', 'VBD'), ('to', 'TO'), ('the', 'DT'), ('bush', 'NN'), ('a', 'DT'), ('fortnight', 'NN'), ('later', 'RB'), (',', ','), ('reportedly', 'RB'), ('with', 'IN'), ('some', 'DT'), ('provisions', 'NNS'), (',', ','), ('an', 'DT'), ('iron', 'NN'), ('pot', 'NN'), (',', ','), ('and', 'CC'), ('a', 'DT'), ('musket', 'NN'), ('stolen', 'VBN'), ('from', 'IN'), ('a', 'DT'), ('marine', 'NN'), ('named', 'VBN'), ('abraham', 'JJ'), ('hand', 'NN'), ('.', '.')]","[38, 6, 25, 16, 19, 16, 19, 27, 9, 27, 40, 16, 29, 9, 16, 19, 19, 9, 33, 16, 19, 8, 40, 16, 19, 8, 13, 19, 24]"
184,"['the', 'band', 'sought', 'to', 'recreate', 'the', 'recording', 'experience', 'of', 'still', 'life', ',', 'and', 'again', 'entered', 'the', 'studio', 'with', 'minimal', 'rehearsals', ',', 'and', 'no', 'lyrics', 'written', '.']","[    6   174  2447    13 23909     6   828  1274     9   250   179     7
    10   433  1044     6   621    22  5252 14311     7    10   113  2695
   358     8]","['the', 'band', 'sought', 'to', 'recreate', 'the', 'recording', 'experience', 'of', 'still', 'life', 'and', 'again', 'entered', 'the', 'studio', 'with', 'minimal', 'rehearsals', '.']","[    6   174  2447    13 23909     6   828  1274     9   250   179    10
   433  1044     6   621    22  5252 14311     8]","['KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'DEL', 'DEL', 'DEL', 'DEL', 'DEL', 'STOP']",[2 2 2 2 2 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 3 3 3 3 3 5],"[('the', 'DT'), ('band', 'NN'), ('sought', 'VBD'), ('to', 'TO'), ('recreate', 'VB'), ('the', 'DT'), ('recording', 'VBG'), ('experience', 'NN'), ('of', 'IN'), ('still', 'RB'), ('life', 'NN'), (',', ','), ('and', 'CC'), ('again', 'RB'), ('entered', 'VBD'), ('the', 'DT'), ('studio', 'NN'), ('with', 'IN'), ('minimal', 'JJ'), ('rehearsals', 'NNS'), (',', ','), ('and', 'CC'), ('no', 'DT'), ('lyrics', 'NNS'), ('written', 'VBN'), ('.', '.')]","[16, 19, 6, 25, 31, 16, 5, 19, 40, 27, 19, 9, 33, 27, 6, 16, 19, 40, 13, 29, 9, 33, 16, 29, 8, 24]"
185,"['hartmann', 'died', 'from', 'an', 'aneurysm', 'in', '1873', '.']",[   1  236   26   33    1   11 6790    8],"['hartmann', 'died', 'because', 'of', 'an', 'aneurysm', 'in', '1873', '.']",[   1  236  154    9   33    1   11 6790    8],"['KEEP', 'KEEP', 'because', 'of', 'DEL', 'STOP']",[  2   2 154   9   3   5],"[('hartmann', 'NN'), ('died', 'VBD'), ('from', 'IN'), ('an', 'DT'), ('aneurysm', 'NN'), ('in', 'IN'), ('1873', 'CD'), ('.', '.')]","[19, 6, 40, 16, 19, 40, 37, 24]"
186,"['moreover', 'he', 'also', 'unsuccessfully', 'contested', 'the', 'saarbrücken', 'constituency', '.']",[ 7395    30    40  8173  4996     6 27756  9458     8],"['he', 'also', 'unsuccessfully', 'contested', 'the', 'saarbrücken', 'constituency', '.']",[   30    40  8173  4996     6 27756  9458     8],"['DEL', 'STOP']",[3 5],"[('moreover', 'NN'), ('he', 'PRP'), ('also', 'RB'), ('unsuccessfully', 'RB'), ('contested', 'VBD'), ('the', 'DT'), ('saarbrücken', 'JJ'), ('constituency', 'NN'), ('.', '.')]","[19, 38, 27, 27, 6, 16, 13, 19, 24]"
187,"['today', 'the', 'garden', 'is', 'divided', 'into', 'sections', 'containing', 'the', 'botanical', 'school', ',', 'gardens', ',', 'ponds', ',', 'greenhouses', ',', 'and', 'various', 'buildings', '.']","[  447     6  1559    14   791    65  2758  1476     6  6809   160     7
  2947     7 13109     7 18618     7    10   334  1040     8]","['the', 'garden', 'is', 'divided', 'into', 'sections', 'for', 'the', 'botanical', 'school', ',', 'gardens', ',', 'ponds', ',', 'greenhouses', ',', 'and', 'other', 'buildings', '.']","[    6  1559    14   791    65  2758    20     6  6809   160     7  2947
     7 13109     7 18618     7    10    52  1040     8]","['DEL', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'for', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'other', 'DEL', 'STOP']",[ 3  2  2  2  2  2  2 20  3  2  2  2  2  2  2  2  2  2  2  2 52  3  5],"[('today', 'NN'), ('the', 'DT'), ('garden', 'NN'), ('is', 'VBZ'), ('divided', 'VBN'), ('into', 'IN'), ('sections', 'NNS'), ('containing', 'VBG'), ('the', 'DT'), ('botanical', 'JJ'), ('school', 'NN'), (',', ','), ('gardens', 'NNS'), (',', ','), ('ponds', 'NNS'), (',', ','), ('greenhouses', 'NNS'), (',', ','), ('and', 'CC'), ('various', 'JJ'), ('buildings', 'NNS'), ('.', '.')]","[19, 16, 19, 15, 8, 40, 29, 5, 16, 13, 19, 9, 29, 9, 29, 9, 29, 9, 33, 13, 29, 24]"
188,"['athletic', 'teams', 'at', 'the', 'school', 'are', 'nicknamed', 'the', 'eagles', '.']",[4005  711   29    6  160   32 3947    6 7102    8],"['sports', 'teams', 'at', 'the', 'school', 'are', 'called', 'the', 'eagles', '.']",[ 878  711   29    6  160   32   91    6 7102    8],"['sports', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'called', 'DEL', 'STOP']",[878   3   2   2   2   2   2  91   3   5],"[('athletic', 'JJ'), ('teams', 'NNS'), ('at', 'IN'), ('the', 'DT'), ('school', 'NN'), ('are', 'VBP'), ('nicknamed', 'VBN'), ('the', 'DT'), ('eagles', 'NNS'), ('.', '.')]","[13, 29, 40, 16, 19, 11, 8, 16, 29, 24]"
189,"['pompeii', 'was', 'transformed', 'into', 'a', 'much', 'more', 'public', 'and', 'open', 'place', '.']",[13254    15  5383    65    12   218    68   268    10   483   233     8],"['pomepeii', 'was', 'changed', 'into', 'a', 'much', 'more', 'public', 'and', 'open', 'place', '.']",[  1  15 837  65  12 218  68 268  10 483 233   8],"['pomepeii', 'DEL', 'KEEP', 'changed', 'DEL', 'STOP']",[  1   3   2 837   3   5],"[('pompeii', 'NN'), ('was', 'VBD'), ('transformed', 'VBN'), ('into', 'IN'), ('a', 'DT'), ('much', 'RB'), ('more', 'JJR'), ('public', 'JJ'), ('and', 'CC'), ('open', 'JJ'), ('place', 'NN'), ('.', '.')]","[19, 6, 8, 40, 16, 27, 46, 13, 33, 13, 19, 24]"
190,"['spurgeon', 'was', 'emotionally', 'devastated', 'by', 'the', 'event', 'and', 'it', 'had', 'a', 'sobering', 'influence', 'on', 'his', 'life', '.']","[17436    15 17488  9258    21     6   477    10    31    48    12     1
   946    19    28   179     8]","['spurgeon', 'was', 'emotionally', 'devastated', 'by', 'the', 'event', 'which', 'had', 'a', 'sobering', 'influence', 'on', 'his', 'life', '.']","[17436    15 17488  9258    21     6   477    35    48    12     1   946
    19    28   179     8]","['KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'which', 'DEL', 'DEL', 'STOP']",[ 2  2  2  2  2  2  2 35  3  3  5],"[('spurgeon', 'NN'), ('was', 'VBD'), ('emotionally', 'RB'), ('devastated', 'VBN'), ('by', 'IN'), ('the', 'DT'), ('event', 'NN'), ('and', 'CC'), ('it', 'PRP'), ('had', 'VBD'), ('a', 'DT'), ('sobering', 'JJ'), ('influence', 'NN'), ('on', 'IN'), ('his', 'PRP$'), ('life', 'NN'), ('.', '.')]","[19, 6, 27, 8, 40, 16, 19, 33, 38, 6, 16, 13, 19, 40, 4, 19, 24]"
191,"['the', 'highest', 'elevation', 'in', 'puerto', 'rico', ',', 'cerro', 'de', 'punta', '-lrb-', '4,390', 'feet', ';', '1,338', 'm', '-rrb-', ',', 'is', 'located', 'in', 'this', 'range', '.']","[    6   858  4605    11  3228  4528     7 26542   180 18920     1     1
   913    45     1   443     1     7    14   227    11    41   479     8]","['the', 'highest', 'elevation', 'in', 'puerto', 'rico', 'is', 'cerro', 'de', 'punta', '-lrb-', '4390', ';', '1338m', '-rrb-', 'and', 'it', 'is', 'located', 'in', 'this', 'range', '.']","[    6   858  4605    11  3228  4528    14 26542   180 18920     1     1
    45     1     1    10    31    14   227    11    41   479     8]","['KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'KEEP', 'is', 'DEL', 'KEEP', 'KEEP', 'KEEP', 'KEEP', '4390', 'DEL', 'DEL', 'KEEP', '1338m', 'DEL', 'DEL', 'KEEP', 'and', 'it', 'DEL', 'STOP']",[ 2  2  2  2  2  2 14  3  2  2  2  2  1  3  3  2  1  3  3  2 10 31  3  5],"[('the', 'DT'), ('highest', 'JJS'), ('elevation', 'NN'), ('in', 'IN'), ('puerto', 'NN'), ('rico', 'NN'), (',', ','), ('cerro', 'NN'), ('de', 'FW'), ('punta', 'FW'), ('-lrb-', 'FW'), ('4,390', 'CD'), ('feet', 'NNS'), (';', ':'), ('1,338', 'CD'), ('m', 'NN'), ('-rrb-', 'NN'), (',', ','), ('is', 'VBZ'), ('located', 'VBN'), ('in', 'IN'), ('this', 'DT'), ('range', 'NN'), ('.', '.')]","[16, 45, 19, 40, 19, 19, 9, 19, 22, 22, 22, 37, 29, 28, 37, 19, 19, 9, 15, 8, 40, 16, 19, 24]"
